date,open,high,low,close,volume,daily_return,log_return,MA20,MA50,MA200,volatility
2018-02-12,2660.171630859375,2680.3244462446733,2653.4540257309422,2653.4540257309422,58535200,-0.005037811809774917,-0.005050544364500958,2723.988858009215,,,0.2792387304483279
2018-02-13,2713.912109375,2727.3473178372524,2673.6064839882424,2680.3240882193686,79288000,0.010126447350458534,0.010075518413372068,2718.6147652123173,,,0.2828393595625838
2018-02-14,2713.912109375,2740.7825262995048,2680.3240882193686,2720.629713606126,63313200,0.015037593984962516,0.014925650216675792,2713.2406562648803,,,0.28328343940961415
2018-02-15,2693.759521484375,2727.347545443033,2687.0419166926436,2720.6299406513012,32896000,8.345317037417033e-08,8.34531668919547e-08,2707.8665471378417,,,0.283283439582095
2018-02-16,2693.759521484375,2693.759521484375,2693.759521484375,2693.759521484375,0,-0.00987654320987652,-0.00992563979996993,2701.8206983794375,,,0.28455643578254286
2018-02-19,2720.630126953125,2740.782942708333,2713.912521701389,2720.630126953125,89429500,0.009975131504665002,0.009925708277426044,2699.4695303172875,,,0.28213174418513276
2018-02-20,2734.065185546875,2740.7827904253686,2713.912370911394,2740.7827904253686,53466600,0.007407351433990295,0.007380051735773147,2696.7824960534094,,,0.2811179116979071
2018-02-21,2734.065185546875,2740.7827904253686,2700.4771611544074,2713.912370911394,74130200,-0.009803921568627527,-0.009852296443011707,2695.103097515269,,,0.2768480718998647
2018-02-22,2693.759521484375,2734.0651502347646,2693.759521484375,2734.0651502347646,91272600,0.0074257295627429,0.007398294565838279,2698.126016772324,,,0.2593864674648164
2018-02-23,2707.19482421875,2713.9124292416254,2693.7596141729996,2707.19482421875,59706400,-0.009827975757529916,-0.009876589087264152,2699.46953451517,,,0.26221595171119494
2018-02-26,2707.19482421875,2720.630034264501,2693.7596141729996,2720.630034264501,56293900,0.00496277915632759,0.004950505159856205,2695.438974511805,,,0.20678380828878573
2018-02-27,2700.477294921875,2707.1949001331236,2660.1716636543842,2707.1949001331236,81554100,-0.004938243701705369,-0.004950477118146067,2695.774860276293,,,0.16076676588708527
2018-02-28,2687.0419921875,2720.6300170898435,2666.889177246094,2666.889177246094,94528200,-0.01488837131196119,-0.015000315613952504,2696.110736769589,,,0.16071987303490867
2018-03-01,2727.34765625,2747.5004714439656,2700.477235991379,2720.6300511853447,84215600,0.02015114628600556,0.01995079895155657,2696.782503669358,,,0.16439538006698845
2018-03-02,2734.065185546875,2734.065185546875,2707.194766032901,2727.3475806683814,61410200,0.0024691080215444305,0.002466064782694335,2697.790142346332,,,0.1645790866092285
2018-03-05,2700.477294921875,2727.347715766869,2687.0420844993782,2720.6301105556204,56394900,-0.0024630047744463868,-0.0024660429604422174,2701.1489532374135,,,0.14648082101095997
2018-03-06,2700.477294921875,2727.347715766869,2700.477294921875,2720.6301105556204,59010500,0.0,0.0,2704.507749876245,,,0.14648083316952004
2018-03-07,2687.0419921875,2713.912412109375,2673.6067822265622,2687.0419921875,100646000,-0.012345712942675946,-0.012422554353017139,2704.843634775595,,,0.15022428012476896
2018-03-08,2781.088623046875,2781.088623046875,2700.4773586107335,2720.630174719769,152547000,0.012500058662992863,0.012422577937313859,2707.19479980774,,,0.15599090461426413
2018-03-09,2787.80615234375,2794.5237575301207,2747.5005212255273,2787.80615234375,97354700,0.02469133006322699,0.024391425836464645,2713.240641814761,2752.0684278485105,,0.17617517797526736
2018-03-12,2821.394287109375,2821.394287109375,2774.371048990886,2801.2414707728794,87344000,0.004819315868800356,0.004807740142567988,2720.630014066858,2748.440928162405,,0.17424612870705358
2018-03-13,2747.500244140625,2807.9586847207365,2740.7826396317237,2794.523475702934,96605900,-0.002398220624690417,-0.0024011009618168846,2726.339983441036,2744.813416127073,,0.1728740320808813
2018-03-14,2727.34765625,2747.5004714439656,2713.9124461206898,2734.065261314655,74296000,-0.02163453444350516,-0.021871992087708934,2727.0117608264623,2740.648502381735,,0.1855101078802118
2018-03-15,2640.018798828125,2713.912454774968,2640.018798828125,2707.1948496888913,133775500,-0.009828006670492995,-0.009876620307055061,2726.340006278342,2737.961460359759,,0.18896462922395038
2018-03-16,2566.125,2653.4538612565443,2566.125,2640.018651832461,208216200,-0.024813950079784708,-0.025127005757202527,2723.6529627957466,2734.0652506350175,,0.20620820953409963
2018-03-19,2566.125,2619.865837696335,2559.407395287958,2592.9954188481674,111808000,-0.0178117048346057,-0.01797224240443048,2717.2712273904986,2728.8255169702775,,0.21032684756547743
2018-03-20,2458.6435546875,2559.4076347976434,2445.2083440061474,2552.6900294569673,254154700,-0.015543949325257267,-0.01566602316427038,2707.866589342078,2722.9140233815892,,0.21201221390234645
2018-03-21,2492.2314453125,2498.9490502863882,2438.490605521395,2458.6434204430593,152085900,-0.0368421578525594,-0.03753797392008465,2695.1031418186617,2715.659009416122,,0.24337608423100857
2018-03-22,2485.513916015625,2559.4075729782517,2478.7963108372046,2498.9491263724663,132850400,0.016393473569316308,0.016260551319010403,2683.3473406255466,2709.210101599597,,0.2512405694511667
2018-03-23,2458.6435546875,2478.7963707095287,2364.5970799180327,2364.5970799180327,104485500,-0.05376341800501638,-0.05526265452126025,2666.217453410511,2700.6115649897242,,0.3091186987710135
2018-03-26,2411.620361328125,2451.925994107982,2404.9027558648154,2418.3379667914346,104993600,0.022727291397680593,0.02247287410756834,2651.1028500368575,2693.0878544378106,,0.3238341047772377
2018-03-27,2391.46728515625,2451.9257277585148,2378.03207568908,2438.490518291345,106157400,0.008333223799421141,0.008298694186015945,2637.6676309447685,2686.101545920491,,0.32773500862792254
2018-03-28,2398.184814453125,2431.7728370645136,2378.0320008862923,2398.184814453125,83907700,-0.016528956555657337,-0.016667083940964614,2624.23241280512,2677.5030043584557,,0.3284468962276565
2018-03-29,2418.337890625,2418.337890625,2371.314653862847,2404.9026801215277,106930200,0.0028012293414236833,0.002797313210128671,2608.4460442519294,2669.038815497045,,0.31637108424703814
2018-03-30,2418.337890625,2418.337890625,2418.337890625,2418.337890625,0,0.005586592178770999,0.0055710450494554295,2592.99555974976,2661.112043376496,,0.3176841941883928
2018-04-02,2465.36083984375,2472.078444311989,2418.3376085660766,2445.208026439033,63944000,0.011110993181804085,0.011049719553197598,2579.224455543931,2654.663134141354,,0.3232590817455467
2018-04-03,2438.49072265625,2465.3611438425446,2431.7731173596762,2445.2083279528233,57234700,1.2330803245141908e-07,1.2330802484898426e-07,2565.453366413791,2647.676831186352,,0.32325910874545416
2018-04-04,2418.337890625,2458.6435221354163,2398.1850748697916,2438.4907063802084,80976000,-0.0027472594035531372,-0.0027510400465272085,2553.0258021234267,2641.496638480472,,0.32226875233904034
2018-04-05,2472.078857421875,2478.7964630126953,2451.926040649414,2451.926040649414,102973700,0.0055096926283346725,0.005494569794585988,2539.590595419909,2637.063023991587,,0.31825632446129054
2018-04-06,2451.926025390625,2478.7964475866866,2451.926025390625,2472.078842037671,62905500,0.008219171807857473,0.008185578363254562,2523.8042299046047,2632.898111445104,,0.30310994223576065
2018-04-09,2532.537109375,2539.254714439655,2438.4906384698274,2438.4906384698274,114947800,-0.013587027645185379,-0.01368017600719079,2505.666688289452,2625.6430995278643,,0.30145856924071046
2018-04-10,2592.995849609375,2606.431061265382,2505.666973845329,2512.384579673332,138847700,0.030303147380493334,0.029853076783682934,2491.559743487972,2621.881247424464,,0.32842636535580305
2018-04-11,2599.713134765625,2613.1483447644137,2586.2779247668363,2586.2779247668363,58454500,0.029411637729090057,0.02898741352436074,2484.1703766605815,2620.4033729721973,,0.34369682399951457
2018-04-12,2519.101806640625,2592.995459635417,2512.3842018229166,2572.8426451822916,76340800,-0.0051948321005585996,-0.005208372153392022,2477.452766435251,2617.7163316120436,,0.34281645472458516
2018-04-13,2458.6435546875,2539.2548187756147,2438.4907386654713,2525.819608094262,88313600,-0.018276685974589757,-0.018445767940403115,2471.7428142483413,2614.088827631351,,0.33776235541793703
2018-04-16,2458.6435546875,2458.6435546875,2458.6435546875,2458.6435546875,0,-0.02659574468085102,-0.02695580998852822,2465.0252210403078,2610.192620870421,,0.3447552753031346
2018-04-17,2458.6435546875,2458.6435546875,2458.6435546875,2458.6435546875,0,0.0,0.0,2460.322897301835,2606.296408408591,,0.34138514951675725
2018-04-18,2532.537109375,2532.537109375,2492.231478987069,2498.949084051724,65927000,0.016393400860153173,0.016260479782575325,2462.338180482268,2602.6689042056155,,0.3195632069645184
2018-04-19,2532.537109375,2532.537109375,2532.537109375,2532.537109375,0,0.013440860215053752,0.013351333174864196,2464.0175796323947,2599.847508911578,,0.3178603239495095
2018-04-20,2532.537109375,2532.537109375,2532.537109375,2532.537109375,0,0.0,0.0,2472.414581105243,2597.1604648550115,,0.23984612978338504
2018-04-23,2519.101806640625,2539.2546210937503,2498.9489921875,2498.9489921875,72362700,-0.0132626357430905,-0.013351369936007674,2476.4451323750463,2594.070364184143,,0.23579909153013812
2018-04-24,2572.8427734375,2572.8427734375,2532.53714252203,2559.407563132343,81396500,0.024193599442747793,0.023905570703165183,2482.4909846170963,2591.6520336824024,,0.2478449443930769
2018-04-25,2572.8427734375,2572.8427734375,2572.8427734375,2572.8427734375,0,0.005249343832021136,0.005235614053945164,2491.223882566315,2588.6962948790297,,0.2374494363505738
2018-04-26,2572.8427734375,2572.8427734375,2572.8427734375,2572.8427734375,0,0.0,0.0,2499.6208872321135,2585.7405515347536,,0.2377689652451384
2018-04-27,2572.8427734375,2572.8427734375,2572.8427734375,2572.8427734375,0,0.0,0.0,2507.3461313727385,2583.322216573816,,0.2379088606241546
2018-04-30,2572.8427734375,2599.713194047813,2519.101932216873,2519.101932216873,95418200,-0.02088772845953013,-0.021108963210235282,2511.0408266616305,2579.2916526790914,,0.2506927210039084
2018-05-01,2572.8427734375,2572.8427734375,2572.8427734375,2572.8427734375,0,0.021333333333333426,0.021108963210235265,2517.422548935864,2575.9328523393337,,0.26005330827587775
2018-05-02,2599.713134765625,2606.4307397650196,2539.2546897710754,2559.4075047692586,118872100,-0.0052219547991620985,-0.005235636857302461,2523.468388855317,2572.842755016491,,0.2608725562804859
2018-05-03,2512.38427734375,2592.9955375793784,2512.38427734375,2586.2779325597426,91601300,0.010498690708850678,0.01044396217425756,2530.185983450833,2569.8870106629906,,0.26223429776564217
2018-05-04,2505.666748046875,2519.1019584921664,2451.925906265709,2485.5139323789376,80894300,-0.03896100991786089,-0.039740298428910345,2530.8577379678964,2565.4533928261944,,0.30115155599614346
2018-05-07,2552.690185546875,2566.1253970497532,2505.6669452868014,2519.1021567896796,97351600,0.013513593294805615,0.013423099049679128,2534.888313883889,2561.422835276698,,0.2998630742272737
2018-05-08,2544.017578125,2579.155942463743,2508.879213786257,2565.100596728246,107379900,0.01825985493068938,0.0180951458012341,2537.5241147366346,2558.5809492086005,,0.28784714478627776
2018-05-09,2600.239013671875,2656.460397751267,2480.7685725031674,2529.9622835726354,149687500,-0.013698610183331184,-0.013793301901546807,2534.708332676925,2555.842411335131,,0.27239542025640856
2018-05-10,2600.239013671875,2600.239013671875,2600.239013671875,2600.239013671875,0,0.02777777777777768,0.027398974188114347,2536.078151101404,2553.434590584862,,0.2899020402183579
2018-05-11,2551.04541015625,2635.377489830837,2544.0177368500345,2600.239123299759,120995700,4.216069493523378e-08,4.2160694046471706e-08,2539.7991268616784,2550.8924214374892,,0.2811506373865071
2018-05-14,2487.796630859375,2536.9903495486847,2459.6859344654836,2501.8519790563205,161018200,-0.037837729369513906,-0.03857216205231385,2541.9595480801195,2546.5168588075035,,0.299164572256391
2018-05-15,2368.325927734375,2480.768701751437,2354.2705809822423,2473.7410283753707,230994800,-0.011236056695709484,-0.011299658048463014,2542.714421764513,2541.5790771638985,,0.3022736041034575
2018-05-16,2445.630126953125,2480.7684908461297,2283.9936530453037,2305.0766713811063,205406800,-0.06818189740137626,-0.07061765223006808,2533.0208011309824,2533.9397707477706,,0.38691593128686186
2018-05-17,2452.658203125,2536.990290338467,2452.658203125,2466.713550993911,179026500,0.07012212722449651,0.06777277955360272,2529.729623211928,2528.861438273254,,0.46056950112158146
2018-05-18,2452.658203125,2480.7688988628224,2389.4091377148998,2473.7412249283666,75748600,0.002849002849002691,0.002844952132231123,2526.789828989596,2522.580139724946,,0.4607880382818245
2018-05-21,2403.464111328125,2452.65782120911,2396.436438487984,2452.65782120911,57210900,-0.008522881660698811,-0.008559409110770824,2524.475270440677,2515.6084667336704,,0.4594204054704456
2018-05-22,2438.602294921875,2459.685311880854,2403.4639333235773,2403.4639333235773,78667200,-0.02005737916644279,-0.020261259201487133,2516.6780889502384,2507.7872758860835,,0.4544704190677983
2018-05-23,2438.602294921875,2480.7683288398325,2424.546950282556,2431.5746226022156,110630200,0.011695906432748648,0.011628037995119214,2509.614681408474,2501.7374631118346,,0.4565950259312484
2018-05-24,2501.8515625,2522.934581285112,2445.6301790730336,2445.6301790730336,84178300,0.005780433937814244,0.005763791333078883,2503.254051690251,2496.5061696995176,,0.4575252071518665
2018-05-25,2501.8515625,2522.934581285112,2480.7685437148875,2487.7962166432585,66374400,0.017241379310344973,0.017094433359300255,2499.001723850539,2493.4617209957332,,0.46277530109597326
2018-05-28,2593.211181640625,2600.2388542195968,2501.8514381139903,2515.9067832719343,90299200,0.011299384748886254,0.01123602354934287,2498.8419664032917,2491.919948284209,,0.45899211626000613
2018-05-29,2593.211181640625,2593.211181640625,2593.211181640625,2593.211181640625,0,0.030726256983240274,0.03026365763982693,2499.860386813448,2492.730371327882,,0.4656943918647167
2018-05-30,2529.96240234375,2621.3221557617185,2522.9347290039063,2529.96240234375,148933500,-0.024390138275148132,-0.024692504322404198,2498.3881316921725,2494.1567509658958,,0.4738638515547918
2018-05-31,2473.7412109375,2536.990275989879,2459.6858631480823,2529.9626020951705,255204300,7.895430398363601e-08,7.895430086674512e-08,2495.5723651689445,2494.77702048035,,0.4720885873236444
2018-06-01,2473.7412109375,2473.7412109375,2473.7412109375,2473.7412109375,0,-0.022222222222222254,-0.02247285585205863,2494.9837290968726,2496.959903100739,,0.45708422772549406
2018-06-04,2558.072998046875,2572.1283441899895,2480.768594259744,2487.7962673313014,141754800,0.005681700386304556,0.00566562040566825,2493.4184346239535,2498.349069111536,,0.45483317954380215
2018-06-05,2691.598876953125,2712.68189687704,2572.128430717608,2586.183777333551,181376800,0.03954805756975888,0.03878605867563048,2494.472593654219,2501.3029342923805,,0.4717438093171052
2018-06-06,2663.488037109375,2691.598728793907,2642.4050183459763,2663.488037109375,143554900,0.0298912476573987,0.029453211868435122,2501.1488813310557,2506.6089987455057,,0.4793899470977474
2018-06-07,2649.432861328125,2691.5989015614637,2649.432861328125,2670.5158814447946,122724300,0.002638586784510899,0.0026351118257126,2504.6627247197016,2511.9212627719708,,0.47035381212339994
2018-06-08,2536.989990234375,2621.322067472083,2529.962317131233,2607.2667212657984,260396300,-0.023684247908227096,-0.023969228401747172,2505.014104618004,2515.6998393847866,,0.47887317281518216
